0	10555.4	11088.4	10046	276.523	-1
10	11058.6	11096.5	11037.1	17.1802	-1
20	11097.8	11098.4	11096.9	0.37398	-1
30	11099.2	11101	11098.9	0.486502	-1
40	11101.6	11103.5	11101.3	0.270028	-1
50	11103.7	11104.5	11103.7	0.161317	-1
60	11104.5	11105	11104.5	0.0496716	-1
70	11104.9	11105	11104.5	0.165962	-1
80	11105	11105	11105	0	-1
90	11105	11105	11105	0	-1
100	11105	11105	11105	0	-1
110	11105	11105	11105	0	-1
120	11105	11105	11105	0	-1
130	11105	11105	11105	0	-1
140	11105	11105	11105	0	-1
150	11105	11105	11105	0	-1
160	11105	11105	11105	0	-1
170	11105	11105	11105	0	-1
180	11105	11105	11105	0	-1
190	11105	11105	11105	0	-1
200	11105	11105	11105	0	-1
210	11105	11105	11105	0	-1
220	11105	11105	11105	0	-1
230	11105	11105	11105	0	-1
240	11105	11105	11105	0	-1
250	11105	11105	11105	0	-1
260	11105	11105	11105	0	-1
270	11105	11105	11105	0	-1
280	11105	11105	11105	0	-1
290	11105	11105	11105	0	-1
300	11105	11105	11105	0	-1
310	11105	11105	11105	0	-1
320	11105	11105	11105	0	-1
330	11105	11105	11105	0	-1
340	11105	11105	11105	0	-1
350	11105	11105	11105	0	-1
360	11105	11105	11105	0	-1
370	11105	11105	11105	0	-1
380	11105	11105	11105	0	-1
390	11105	11105	11105	0	-1
400	11105	11105	11105	0	-1
410	11105	11105	11105	0	-1
420	11105	11105	11105	0	-1
430	11105	11105	11105	0	-1
440	11105	11105	11105	0	-1
450	11105	11105	11105	0	-1
460	11105	11105	11105	0	-1
470	11105	11105	11105	0	-1
480	11105	11105	11105	0	-1
490	11105	11105	11105	0	-1
500	11105	11105	11105	0	-1
